adjoint,measurement_time,measurement_values,measurement_xcoord,measurement_ycoord,measurement_zcoord,misfit_values,simulation_values,source
0,0,0.27190806915307,0,0,0,0,0.27167713173193,0.059200955143418
0,0,1.422869221989,0,0,0,0,1.4229613791281,2.0065620496073
0,0,2.0199932599511,0,0,0,0,2.0199353453952,3.0329065052613
0,0,1.8054788955459,0,0,0,0,1.8047797296291,0.32239684667143
0,0,0.43110581591218,0,0,0,0,0.43359764815362,5.2718828038361
0,0,0.30650555116343,0,0,0,0,0.30667246649083,5.9443682684479
0,0,1.5406226895462,0,0,0,0,1.5404337687485,0.5006243918104
0,0,2.1495379252665,0,0,0,0,2.1500098510802,8.457752716524
0,0,1.9232323631031,0,0,0,0,1.9231569154398,8.9254267118343
0,0,0.46570329792254,0,0,0,0,0.46484335476582,0
