time,p0,p1,p2,p3,p4,p5,p6
0,0,0,0,0,0,0,0
0.05,0.084952251316208,0.00021850081728904,-0.00097753793085573,0.0057847626018696,-0.0017178940255009,-0.0015224128402504,0.0017379414614821
0.1,0.22405132502098,0.0048470498208262,-0.0012915816494618,0.019444055362404,-0.0028493394269002,-0.00098415872389794,0.0098617920338418
0.15,0.24802081333607,0.036215380938609,-0.0036178873355602,0.01170661580316,0.016587776631631,0.027256576230462,0.043747713935487
0.2,0.19891571812982,0.078988638820701,-0.0078808319878275,-0.014633889747022,0.045179971455925,0.069449159549427,0.086776663636491
0.25,0.13962750365933,0.13530265682726,-0.01097459857092,-0.018948483968603,0.084468027173566,0.12688324144867,0.14184100466651
0.3,0.076418447828846,0.19921350052383,-0.011972578258828,-0.0099690117011961,0.12889509973823,0.19274753670223,0.20372565706132
0.35,0.031246543988759,0.22789357288422,0.0041832656397593,-0.0067890822983898,0.14571612910525,0.22371604399994,0.23006727616993
0.4,-0.0042890789600684,0.23577150453153,0.02942693356437,-0.0062118669055197,0.14894034917398,0.23400309417479,0.23550977496015
0.45,-0.016211662563327,0.19956273259008,0.078023533818609,-0.0094337634688284,0.12009504987055,0.20024702896768,0.19684205175157
0.5,-0.015572638143902,0.13806932325257,0.13905326598087,-0.013114765818177,0.075128241009296,0.14122307837927,0.13288768426938
0.55,-0.012091357333552,0.080601493978179,0.19052273342245,-0.0089484414497402,0.03554383638081,0.085990742170672,0.073189204474391
0.6,-0.0066446037537197,0.025888015806998,0.23624383665606,3.6250820317531e-05,-0.0017599894447465,0.033193974291612,0.016547642159039
0.65,-0.0070738412126924,-0.0021927883337304,0.23173361615699,0.03256337852364,-0.018146818838398,0.006019788292505,-0.012450342294499
0.7,-0.0092745514437299,-0.015984046584048,0.19795095575814,0.077468034969688,-0.024606279271343,-0.0080367648601724,-0.02597093847159
0.75,-0.011483626079847,-0.016742356228647,0.1427063887595,0.13492187687016,-0.021730603583893,-0.010095179154267,-0.025419640038252
0.8,-0.012515601084775,-0.010540136262988,0.075652274877973,0.19907205256504,-0.014269377660315,-0.0059744328694011,-0.017134416633163
0.85,0.0040493824018808,-0.0079616001696669,0.029878281224877,0.22754814915809,-0.01078950168452,-0.0057908967327271,-0.012166467223169
0.9,0.030132378991599,-0.0062918431393152,-0.0039476799882975,0.23516989601733,-0.0087203944819805,-0.006569840417426,-0.0080571910439164
0.95,0.077266163281151,-0.0082973580366484,-0.01524669387415,0.19954340023919,-0.010638419324284,-0.010996190263307,-0.0076444784185149
1,0.13543558011234,-0.010828664074078,-0.014650736430201,0.13903332416143,-0.013858849357706,-0.015907185088468,-0.0077856585359534
