id,u,x,y,z
0,0,-1,-1,0
1,0,-0.9,-1,0
2,-0.047715526656032,-0.9,-0.9,0
3,0,-1,-0.9,0
4,0,-0.8,-1,0
5,-0.28383257676297,-0.8,-0.9,0
6,0,-0.7,-1,0
7,-0.61368463361907,-0.7,-0.9,0
8,0,-0.6,-1,0
9,-0.94085598185891,-0.6,-0.9,0
10,0,-0.5,-1,0
11,-1.1798707226518,-0.5,-0.9,0
12,0,-0.4,-1,0
13,-1.2680492699115,-0.4,-0.9,0
14,0,-0.3,-1,0
15,-1.1741862763968,-0.3,-0.9,0
16,0,-0.2,-1,0
17,-0.9023308777744,-0.2,-0.9,0
18,0,-0.1,-1,0
19,-0.48985221501331,-0.1,-0.9,0
20,0,0,-1,0
21,-5.2064980977899e-16,0,-0.9,0
22,0,0.1,-1,0
23,0.48985221501331,0.1,-0.9,0
24,0,0.2,-1,0
25,0.9023308777744,0.2,-0.9,0
26,0,0.3,-1,0
27,1.1741862763968,0.3,-0.9,0
28,0,0.4,-1,0
29,1.2680492699115,0.4,-0.9,0
30,0,0.5,-1,0
31,1.1798707226518,0.5,-0.9,0
32,0,0.6,-1,0
33,0.94085598185891,0.6,-0.9,0
34,0,0.7,-1,0
35,0.61368463361907,0.7,-0.9,0
36,0,0.8,-1,0
37,0.28383257676297,0.8,-0.9,0
38,0,0.9,-1,0
39,0.047715526656032,0.9,-0.9,0
40,0,1,-1,0
41,0,1,-0.9,0
42,-0.090708185220343,-0.9,-0.8,0
43,0,-1,-0.8,0
44,-0.53978245626584,-0.8,-0.8,0
45,-1.1671609964113,-0.7,-0.8,0
46,-1.7894538735846,-0.6,-0.8,0
47,-2.2440786236035,-0.5,-0.8,0
48,-2.4118124127976,-0.4,-0.8,0
49,-2.2332983494488,-0.3,-0.8,0
50,-1.7162360087763,-0.2,-0.8,0
51,-0.9317020641631,-0.1,-0.8,0
52,-7.664708002255e-16,0,-0.8,0
53,0.9317020641631,0.1,-0.8,0
54,1.7162360087763,0.2,-0.8,0
55,2.2332983494488,0.3,-0.8,0
56,2.4118124127976,0.4,-0.8,0
57,2.2440786236035,0.5,-0.8,0
58,1.7894538735846,0.6,-0.8,0
59,1.1671609964113,0.7,-0.8,0
60,0.53978245626584,0.8,-0.8,0
61,0.090708185220343,0.9,-0.8,0
62,0,1,-0.8,0
63,-0.12471215202792,-0.9,-0.7,0
64,0,-1,-0.7,0
65,-0.74268627860682,-0.8,-0.7,0
66,-1.6061006272647,-0.7,-0.7,0
67,-2.4625502168853,-0.6,-0.7,0
