grad_lambda,grad_mu,lambda,measurement_time,measurement_values,measurement_xcoord,measurement_ycoord,measurement_zcoord,misfit_values,mu,simulation_values
-1.8574225460348e-07,4.6519607356558e-06,4.9998429128946,0,4.46462,-1,-1,0,-5.2031925772411e-06,1.0000123445815,4.4646147968074
-1.0150639458066e-08,-4.1475105113924e-08,4.003724392587,0,6.447155,-1,0,0,-6.0637823402487e-06,1.9997151734395,6.4471489362177
1.3034921253271e-08,3.4385191019354e-08,3.0122790297015,0,8.434803,-1,1,0,-1.8718571173082e-06,3.000524304422,8.4348011281429
0,0,0,0,4.176264,0,-1,0,3.0626027518466e-06,0,4.1762670626028
0,0,0,0,6.172984,0,0,0,6.6382082657412e-06,0,6.1729906382083
0,0,0,0,8.200859,0,1,0,5.1761429116226e-06,0,8.2008641761429
0,0,0,0,4.049477,1,-1,0,-2.7340926367359e-06,0,4.0494742659074
0,0,0,0,6.052499,1,0,0,6.6358077761564e-06,0,6.0525056358078
0,0,0,0,8.079385,1,1,0,-6.3046197400496e-06,0,8.0793786953803
